;;;;;;;
artist_name;track_name;popularity;year;genre;danceability;energy;valence
Franz Liszt;5 Kleine Klavierstucke, S192/R60: No. 2. Moderato;13;2012;classical;0,397;0,0321;0,036
Ludwig van Beethoven;"Music To Goethe's Tragedy ""Egmont"" Op. 84: Overture";15;2012;classical;0,224;0,119;0,0696
Ludwig van Beethoven;Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio;10;2012;classical;0,281;0,126;0,0971
Sergei Rachmaninoff;Moments Musicaux, Op. 16: No. 4 in E Minor. Presto - Più vivo - Prestissimo;13;2012;classical;0,334;0,195;0,135
Ludwig van Beethoven;"Piano Sonata No. 23 in F minor, Op. 57 -""Appassionata"": 1. Allegro assai";9;2012;classical;0,292;0,138;0,0393
Claude Debussy;Préludes / Book 1, L.117: La fille aux cheveux de lin;14;2012;classical;0,392;0,00661;0,118
Claude Debussy;Préludes / Book 1, L.117: 7. Ce qu'a vu le vent d'ouest;15;2012;classical;0,295;0,107;0,0342
Frédéric Chopin;12 Études, Op. 10: No. 3 in E Major;46;2013;classical;0,392;0,0536;0,0417
Ludwig van Beethoven;Für Elise, WoO 59;36;2013;classical;0,296;0,0709;0,192
Franz Liszt;Années de pèlerinage III, S. 163: No. 4, Les jeux d'eaux à la Villa d'Este;35;2013;classical;0,242;0,126;0,0393
Ludwig van Beethoven;"European Union: Ode an die Freude (Ode to Joy), ""Praise to Joy…"" [arr. P. Breiner]";42;2013;classical;0,582;0,245;0,542
Frédéric Chopin;12 Études, Op. 10: No. 4 in C-Sharp Minor;28;2013;classical;0,329;0,167;0,324
Frédéric Chopin;Polonaise No. 3 in A Major, Op. 40, No. 1 'Military';26;2013;classical;0,326;0,291;0,247
Frédéric Chopin;"12 Études, Op. 10: No. 1 in C Major ""Waterfall""";26;2013;classical;0,254;0,205;0,0934
Frédéric Chopin;12 Études, Op. 10: No. 2 in A Minor;25;2013;classical;0,361;0,184;0,372
Felix Mendelssohn;Mendelssohn: String Quartet No. 6 in F Minor, Op. 80, MWV R37: II. Allegro assai;34;2013;classical;0,352;0,289;0,233
Ludwig van Beethoven;"Symphony No. 9 in D minor, Op. 125 - ""Choral"": 2. Molto vivace";24;2013;classical;0,308;0,222;0,241
Frédéric Chopin;Nocturne No. 20 In C Sharp Minor;28;2013;classical;0,249;0,0669;0,051
Frédéric Chopin;24 Preludes, Op. 28: No. 19 in E-Flat Major;33;2013;classical;0,323;0,0691;0,179
Frédéric Chopin;12 Études, Op. 10: No. 6 in E-Flat Minor;23;2013;classical;0,298;0,005;0,0571
Frédéric Chopin;12 Études, Op. 10: No. 12 in C Minor;22;2013;classical;0,315;0,184;0,151
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: I. Allegro ma non tanto - Live;21;2013;classical;0,17;0,054;0,0508
Frédéric Chopin;12 Études, Op. 10: No. 5 in G-Flat Major;21;2013;classical;0,405;0,0616;0,421
Franz Liszt;6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido);23;2013;classical;0,268;0,00613;0,0857
Frédéric Chopin;12 Études, Op. 25: No. 11 in A Minor;21;2013;classical;0,405;0,209;0,0929
Frédéric Chopin;12 Études, Op. 25: No. 1 in A-Flat Major;20;2013;classical;0,288;0,00885;0,0402
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: III. Finale (Alla breve) - Live;19;2013;classical;0,335;0,225;0,0908
Frédéric Chopin;"12 Études, Op. 25: No. 12 in C Minor ""Ocean""";19;2013;classical;0,202;0,146;0,0389
